id,label,count,type
227969,Safety Measures,8770670,Text
220045,Heart Rate,6460839,Numeric
220210,Respiratory Rate,6393762,Numeric
220277,O2 saturation pulseoxymetry,6324341,Numeric
220048,Heart Rhythm,5907987,Text
224650,Ectopy Type 1,5272404,Text
220179,Non Invasive Blood Pressure systolic,4067219,Numeric
220180,Non Invasive Blood Pressure diastolic,4066337,Numeric
220181,Non Invasive Blood Pressure mean,4064537,Numeric
227958,Less Restrictive Measures,3333656,Text
224080,Head of Bed,2441517,Text
224082,Turn,2410497,Text
224086,Activity Tolerance,2315821,Text
224093,Position,2276474,Text
220052,Arterial Blood Pressure mean,2272013,Numeric
220050,Arterial Blood Pressure systolic,2264001,Numeric
220051,Arterial Blood Pressure diastolic,2263647,Numeric
223792,Pain Management,2023663,Text
228905,Altered Respiratory Status NCP - Interventions,1874646,Text
229381,Orientation,1854119,Text
224642,Temperature Site,1842387,Text
220739,GCS - Eye Opening,1630825,Text
223900,GCS - Verbal Response,1627786,Text
223901,GCS - Motor Response,1623795,Text
223781,Pain Present,1555736,Text
224073,Education Topic,1554925,Text
228868,Assistance,1551630,Text
226732,O2 Delivery Device(s),1536870,Text
224089,Anti Embolic Device,1527346,Text
223761,Temperature Fahrenheit,1515962,Numeric
224641,Alarms On,1499158,Checkbox
223987,RLL Lung Sounds,1473353,Text
228928,Impaired Tissue Perfusion NCP - Interventions,1472246,Text
224168,Parameters Checked,1471381,Checkbox
223989,LLL Lung Sounds,1468210,Text
223986,RUL Lung Sounds,1450737,Text
223988,LUL Lung Sounds,1448134,Text
227944,Side Rails,1413161,Text
228988,Safety Restraints NCP - Interventions,1391021,Text
223795,Pain Assessment Method,1368446,Text
224003,Abdominal Assessment,1355393,Text
225054,Anti Embolic Device Status,1340492,Text
224084,Activity,1289452,Text
224001,Diet Type,1285595,Text
223783,Pain Location,1253872,Text
224087,Therapeutic Bed,1248921,Text
224088,Pressure Reducing Device,1223728,Text
223907,Pupil Size Right,1204273,Text
224733,Pupil Size Left,1202270,Text
227121,Pupil Response Right,1192117,Text
223999,Oral Cavity,1187662,Text
227288,Pupil Response Left,1187644,Text
228096,Richmond-RAS Scale,1149546,Text
229321,Activity / Mobility (JH-HLM),1140357,Text
224015,Urine Source,1138637,Text
224004,Bowel Sounds,1079035,Text
228947,Infection NCP - Interventions,1075834,Text
227947,Reason for Restraint (Non-violent),1073708,Text
228924,Impaired Tissue Perfusion NCP - Expected outcomes,1065993,Text
223934,Dorsal PedPulse R,1027492,Text
223943,Dorsal PedPulse L,1013331,Text
224031,Edema Location,992516,Text
226168,Oral Care,979698,Text
223794,Pain Level Acceptable,972201,Text
223991,Cough Effort,969682,Text
224026,Skin Integrity,968582,Text
227954,Status and Comfort,968182,Text
224016,Urine Color,963410,Text
224027,Skin Temperature,952619,Text
223791,Pain Level,946096,Text
224028,Skin Color,941550,Text
227955,Food and Fluid,936565,Text
224860,Skin Condition,936515,Text
228305,ST Segment Monitoring On,935475,Checkbox
228299,Goal Richmond-RAS Scale,916145,Text
224876,Urine Appearance,906144,Text
223784,Pain Cause,901269,Text
228898,Impaired Fluid Balance NCP - Interventions,890590,Text
223835,Inspired O2 Fraction,849875,Numeric
224651,Ectopy Frequency 1,841843,Text
228937,Post-op Care NCP - Interventions,835233,Text
227948,Restraint Device (Non-violent),829675,Text
228412,Strength R Arm,827351,Text
228409,Strength L Arm,826749,Text
228397,Commands Response,826196,Text
228411,Strength R Leg,825729,Text
228410,Strength L Leg,824699,Text
227945,Restraint (Non-violent),821651,Text
